BAL,2959,Baltimore
BOS,2966,Boston
NYA,2970,NY Yankees
TBA,2960,Tampa Bay 
TOR,2984,Toronto
CHA,2974,Chi. White Sox 
CLE,2980,Cleveland
DET,2978,Detroit
KCA,2965,Kansas City
MIN,2983,Minnesota
ANA,2979,LA Angels
OAK,2969,Oakland
SEA,2973,Seattle
TEX,2977,Texas
ATL,2957,Atlanta
FLO,2963,Florida
NYN,2964,NY Mets
PHI,2958,Philadelphia
WAS,2972,Washington
CHN,2982,Chi. Cubs
CIN,2961,Cincinnati
HOU,2981,Houston
MIL,2976,Milwaukee
PIT,2971,Pittsburgh
SLN,2975,St. Louis
ARI,2968,Arizona
COL,2956,Colorado
LAN,2967,LA Dodgers
SDN,2955,San Diego
SFN,2962,San Francisco
