BAL,Baltimore Orioles,AL,E,Baltimore,MD,21201
BOS,Boston Red Sox,AL,E,Boston,MA,02215
CHW,Chicago White Sox,AL,C,Chicago,IL,60616
CLE,Cleveland Indians,AL,C,Cleveland,OH,44115
DET,Detroit Tigers,AL,C,Detroit,MI,48210
KCR,Kansas City Royals,AL,C,Kansas City,MO,64129
ANA,Los Angeles Angels,AL,W,Anaheim,CA,92806
MIN,Minesota Twins,AL,C,Minneapolis,MN,55403
NYY,New York Yankees,AL,E,Bronx,NY,10451
OAK,Oakland Athletics,AL,W,Oakland,CA,94621
SEA,Seattle Mariners,AL,W,Seattle,WA,98104
TBD,Tampa Bay Rays,AL,E,St. Petersburg,FL,33705
TEX,Texas Rangers,AL,W,Arlington,TX,76011
TOR,Toronto Blue Jays,AL,E,Toronto,ON,00000
ARI,Arizona Diamondbacks,NL,W,Phoenix,AZ,85004
ATL,Atlanta Braves,NL,E,Atlanta,GA,30315
CHC,Chicago Cubs,NL,C,Chicaho,IL,60613
CIN,Cincinnati Reds,NL,C,Cincinnatti,OH,45202
COL,Colorado Rockies,NL,W,Denver,CO,80205,
FLA,Florida Marlines,NL,E,Miami,FL,33056
HOU,Houston Astros,NL,C,Houston,TX,77002
LAD,Los Angeles Dogers,NL,W,Los Angeles,CA,90012
MIL,Milwaukee Brewers,NL,C,Milwaukee,WI,53214
NYM,New York Mets,NL,E,Flusing,NY,11368
PHI,Philadelphia Phillies,NL,E,Philadelphia,PA,19148
PIT,Pitsburg Pirates,NL,C,Pittsburge,PA,15212
SDP,San Diego Padres,NL,W,San Diego,CA,92101
SFG,San Francisco Giants,NL,W,San Francisco,CA,94107
STL,St. Louis Cardinals,NL,C,St. Louis,MO,63102
WSN,Washington Nationals,NL,E,Washington,DC,20003
